RANGE,FRAMECOUNT,,,,RANGE,RANGE
-1.4898,516,,,,-1.4898,-30.3942
-2.0514,517,,,,-2.0514,-28.8537
-1.5483,518,,,,-1.5483,-29.5128
-2.964,519,,,,-2.964,-29.622
-1.7901,520,,,,-1.7901,-29.6298
-2.3751,521,,,,-2.3751,-29.9808
-3.5685,522,,,,-3.5685,-29.6922
-3.0069,523,,,,-3.0069,-28.7484
-3.0771,524,,,,-3.0771,-30.8037
-3.8142,525,,,,-3.8142,-29.8287
-2.4843,526,,,,-2.4843,-31.3302
-4.6098,527,,,,-4.6098,-32.1531
-4.1106,528,,,,-4.1106,-30.3864
-4.9959,529,,,,-4.9959,-31.3575
-4.1964,530,,,,-4.1964,-31.3692
-4.251,531,,,,-4.251,-30.5463
-4.4616,532,,,,-4.4616,-30.7296
-4.6566,533,,,,-4.6566,-30.1875
-3.7557,534,,,,-3.7557,-31.3458
-3.4866,535,,,,-3.4866,-30.8739
-4.2237,536,,,,-4.2237,-30.1446
-4.836,537,,,,-4.836,-32.4495
-4.4109,538,,,,-4.4109,-31.8177
-5.6394,539,,,,-5.6394,-32.1609
-4.29,540,,,,-4.29,-29.8365
-4.6488,541,,,,-4.6488,-33.4908
-5.3742,542,,,,-5.3742,-33.2997
-5.7174,543,,,,-5.7174,-32.2779
-4.7541,544,,,,-4.7541,-32.2896
-4.8087,545,,,,-4.8087,-30.5931
-6.7041,546,,,,-6.7041,-32.4066
-4.7931,547,,,,-4.7931,-31.2951
-6.1464,548,,,,-6.1464,-31.4706
-5.8656,549,,,,-5.8656,-32.0127
-6.552,550,,,,-6.552,-33.4674
-6.8172,551,,,,-6.8172,-32.937
-6.9849,552,,,,-6.9849,-35.7684
-6.7197,553,,,,-6.7197,-33.9627
-7.6245,554,,,,-7.6245,-33.2919
-6.9147,555,,,,-6.9147,-33.3582
-7.1331,556,,,,-7.1331,-34.146
-6.8679,557,,,,-6.8679,-33.8028
-8.2485,558,,,,-8.2485,-34.7622
-7.1994,559,,,,-7.1994,-34.7895
-6.5988,560,,,,-6.5988,-35.6358
-8.9232,561,,,,-8.9232,-36.3105
-7.9872,562,,,,-7.9872,-36.9384
-9.7344,563,,,,-9.7344,-39.1458
-10.7601,564,,,,-10.7601,-36.5523
-9.4419,565,,,,-9.4419,-37.8354
-10.4052,566,,,,-10.4052,-38.865
-9.4029,567,,,,-9.4029,-37.9212
-10.3389,568,,,,-10.3389,-37.8354
-9.4926,569,,,,-9.4926,-38.7909
-8.6268,570,,,,-8.6268,-37.9212
-11.1852,571,,,,-11.1852,-38.8767
-10.2648,572,,,,-10.2648,-37.9758
-10.5105,573,,,,-10.5105,-39.4851
-8.5917,574,,,,-8.5917,-39.3369
-10.3389,575,,,,-10.3389,-39.5397
-7.995,576,,,,-7.995,-39.2082
-7.7103,577,,,,-7.7103,-39.7347
-7.3164,578,,,,-7.3164,-42.1644
-8.6151,579,,,,-8.6151,-39.957
-10.1283,580,,,,-10.1283,-42.1995
-10.4247,581,,,,-10.4247,-40.9047
-7.995,582,,,,-7.995,-41.4936
-9.4302,583,,,,-9.4302,-41.0178
-11.1462,584,,,,-11.1462,-9999
-9.4263,585,,,,-9.4263,-42.4257
-10.8264,586,,,,-10.8264,-39.9063
-9.3054,587,,,,-9.3054,-40.5537
-10.2141,588,,,,-10.2141,-41.4936
-9.7188,589,,,,-9.7188,-41.2947
-9.7305,590,,,,-9.7305,-40.659
-10.3311,591,,,,-10.3311,-41.9577
-10.179,592,,,,-10.179,-40.5264
-10.3701,593,,,,-10.3701,-41.8212
-10.7484,594,,,,-10.7484,-41.9382
-9.6096,595,,,,-9.6096,-40.9554
-10.686,596,,,,-10.686,-41.1699
-8.6814,597,,,,-8.6814,-42.4803
-8.4045,598,,,,-8.4045,-42.0786
-8.8803,599,,,,-8.8803,-9999
-8.6034,600,,,,-8.6034,-39.9063
-8.541,601,,,,-8.541,-40.3002
-9.4848,602,,,,-9.4848,-41.3922
-7.6635,603,,,,-7.6635,-39.9024
-9.36,604,,,,-9.36,-39.9687
-8.3967,605,,,,-8.3967,-39.3447
-7.1175,606,,,,-7.1175,-39.7152
-7.7142,607,,,,-7.7142,-38.9781
-7.917,608,,,,-7.917,-40.2066
-7.9209,609,,,,-7.9209,-38.2956
-8.9544,610,,,,-8.9544,-37.968
-6.8835,611,,,,-6.8835,-38.3346
-8.0145,612,,,,-8.0145,-38.3892
-5.4327,613,,,,-5.4327,-36.5835
-5.226,614,,,,-5.226,-36.6732
-4.8165,615,,,,-4.8165,-36.6381
-4.7892,616,,,,-4.7892,-36.4704
-4.3758,617,,,,-4.3758,-35.5734
-4.7619,618,,,,-4.7619,-35.2068
-3.5334,619,,,,-3.5334,-35.5695
-2.7339,620,,,,-2.7339,-35.7645
-2.7339,621,,,,-2.7339,-35.8347
-2.9835,622,,,,-2.9835,-35.745
-2.7027,623,,,,-2.7027,-35.6085
-2.0358,624,,,,-2.0358,-33.132
-3.7752,625,,,,-3.7752,-33.1242
-5.9241,626,,,,-5.9241,-33.5922
-2.9913,627,,,,-2.9913,-34.7349
-3.0537,628,,,,-3.0537,-35.5812
-3.6543,629,,,,-3.6543,-34.5516
-3.7518,630,,,,-3.7518,-35.5383
-1.5873,631,,,,-1.5873,-33.6156
-2.2035,632,,,,-2.2035,-33.8106
-3.4164,633,,,,-3.4164,-34.5438
-1.8135,634,,,,-1.8135,-33.0423
-2.3478,635,,,,-2.3478,-32.7303
-0.7839,636,,,,-0.7839,-32.8629
-2.0787,637,,,,-2.0787,-32.8902
-1.6614,638,,,,-1.6614,-32.1804
-1.677,639,,,,-1.677,-32.313
-2.2386,640,,,,-2.2386,-32.2935
0.0897,641,,,,0.0897,-31.7982
-1.3338,642,,,,-1.3338,-31.0143
-1.6302,643,,,,-1.6302,-30.7491
-1.443,644,,,,-1.443,-30.5658
-2.769,645,,,,-2.769,-30.9558
-0.8424,646,,,,-0.8424,-30.1329
-1.3416,647,,,,-1.3416,-30.4254
-0.9984,648,,,,-0.9984,-30.753
-1.209,649,,,,-1.209,-29.8599
-1.3884,650,,,,-1.3884,-29.8911
-1.95,651,,,,-1.95,-31.6968
-0.8112,652,,,,-0.8112,-29.3685
-2.2035,653,,,,-2.2035,-29.2164
-0.6513,654,,,,-0.6513,-30.0783
-3.7713,655,,,,-3.7713,-30.2889
-5.6901,656,,,,-5.6901,-30.2109
-1.755,657,,,,-1.755,-30.4488
-0.4563,658,,,,-0.4563,-28.6665
-2.6247,659,,,,-2.6247,-31.0104
-1.9929,660,,,,-1.9929,-30.5892
-1.0881,661,,,,-1.0881,-30.441
-3.2136,662,,,,-3.2136,-30.1446
-0.5655,663,,,,-0.5655,-28.413
-5.8422,664,,,,-5.8422,-28.9083
-1.6575,665,,,,-1.6575,-29.6883
-0.663,666,,,,-0.663,-28.2687
-1.2168,667,,,,-1.2168,-27.6447
-0.5421,668,,,,-0.5421,-27.7032
0.7722,669,,,,0.7722,-29.3958
-0.2379,670,,,,-0.2379,-26.1861
0.1365,671,,,,0.1365,-26.9973
-0.975,672,,,,-0.975,-27.4185
